rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,moderate_or_heavy_f1,moderate_or_heavy_f2,horizon_h
0.39999999999999997,0.42999999999999994,0.5487795009871305,0.14016279069767443,0.6813248926068279,0.2324962388612429,0.3844534598897734,1
0.39999999999999997,0.44999999999999996,0.5536808888943647,0.14657400205735505,0.6604114854171377,0.2399030860521939,0.38821918900599406,1
0.39999999999999997,0.4699999999999999,0.5583118763543744,0.1534603811434303,0.6399502600045218,0.2475565759265333,0.3916400315470508,1
0.39999999999999997,0.48999999999999994,0.5628597989734513,0.16085688186934613,0.6171150802622655,0.2551948203725779,0.3937479263138154,1
0.39999999999999997,0.5099999999999999,0.5674083291804243,0.16885577571534088,0.5943929459642776,0.26299862448418154,0.3952016595763871,1
0.39999999999999997,0.5299999999999999,0.5719101343498697,0.1774756050304717,0.5695229482251866,0.2706201487927376,0.3950071349045804,1
0.39999999999999997,0.5499999999999999,0.5762711104618611,0.18709702478054843,0.5445399050418268,0.2785037002775208,0.3939964011123835,1
0.39999999999999997,0.57,0.580530522464294,0.197508513297987,0.5179742256387068,0.285972850678733,0.3910690814741479,1
0.39999999999999997,0.59,0.5848768862017651,0.20970845761570286,0.49276509156680987,0.2942089632829374,0.38801851522164854,1
0.39999999999999997,0.6099999999999999,0.5887719354006767,0.22256410256410256,0.4660863667194212,0.30126776515289905,0.3824036802760208,1
0.39999999999999997,0.6299999999999999,0.5926877708012495,0.23791730474732006,0.43906850553922677,0.3086091136625482,0.3755632481772999,1
0.39999999999999997,0.6499999999999999,0.5953378499960469,0.25358649789029536,0.4076418720325571,0.31266799618486085,0.36347875171357147,1
0.39999999999999997,0.6699999999999999,0.5966761674047262,0.26944399152127835,0.3736151933077097,0.31309208033345964,0.34679958027282265,1
0.39999999999999997,0.69,0.5969667304466068,0.2866004962779156,0.3394754691385937,0.3108052163113227,0.32739522916575814,1
0.39999999999999997,0.7099999999999999,0.5956043362094512,0.3050557959462537,0.3028487451955686,0.3039482641252553,0.30328759679391387,1
0.39999999999999997,0.7299999999999999,0.5945549994770277,0.3307184145334434,0.2716482025774361,0.29828699106256207,0.2817116060961313,1
0.39999999999999997,0.7499999999999999,0.5917872802906005,0.35812857623695726,0.24056070540357224,0.2878009196645929,0.25746503411895655,1
0.44999999999999996,0.01,0.32597215304931293,0.056457011919469384,0.924711734117115,0.1064168862002797,0.22687812373455812,1
0.44999999999999996,0.03,0.35120664401884755,0.059616915313894306,0.9229030070088176,0.11199901225760871,0.23687799216596547,1
0.44999999999999996,0.049999999999999996,0.3741055362566828,0.06289064617815401,0.9179290074609994,0.1177161330540233,0.24681301178744902,1
0.44999999999999996,0.06999999999999999,0.3953297366083523,0.06637426659973832,0.9118245534704952,0.12374107341469215,0.2570312350628079,1
0.44999999999999996,0.08999999999999998,0.41452987337146685,0.07005211065645438,0.905720099479991,0.1300459348471814,0.26750180293277065,1
0.44999999999999996,0.10999999999999997,0.4319856388436773,0.0737116461989389,0.8983721456025322,0.13624440672735688,0.2774868013072991,1
0.44999999999999996,0.12999999999999998,0.4465208232014193,0.07745040267138087,0.8914763735021478,0.14251893083693276,0.28738229206145594,1
0.44999999999999996,0.15,0.45916647714045916,0.08103980301094037,0.8817544652950486,0.14843712831247918,0.2962782888789285,1
0.44999999999999996,0.16999999999999998,0.4703038679275425,0.08475022487439943,0.8733891024191726,0.1545076393888489,0.3052644888024908,1
0.44999999999999996,0.18999999999999997,0.4800925410096431,0.088330594579582,0.8628758761021931,0.16025614108754987,0.31334668877978294,1
0.44999999999999996,0.20999999999999996,0.488986309739428,0.09206120304059834,0.8515713316753335,0.16615934356802542,0.32134630151011007,1
0.44999999999999996,0.22999999999999998,0.4973466027549447,0.09607708901145744,0.8408320144698168,0.1724493699500365,0.32969565872642975,1
0.44999999999999996,0.24999999999999997,0.5046871655142282,0.09991129307403616,0.8276056974903911,0.17829787752219287,0.33687959579970367,1
0.44999999999999996,0.26999999999999996,0.5114808676604288,0.1038794531598888,0.8151706986208456,0.18427609470631076,0.34403297678457273,1
0.44999999999999996,0.29,0.5181489197092193,0.10791641244661379,0.7997965182003165,0.19017283552401687,0.3504418291329846,1
0.44999999999999996,0.30999999999999994,0.5244439663756533,0.11216358199304938,0.7844223377797874,0.19626366477634313,0.3567645939804008,1
0.44999999999999996,0.32999999999999996,0.5301846459323865,0.11648933427299449,0.766108975808275,0.20222908553780045,0.3621701349921442,1
0.44999999999999996,0.35,0.5358615104114336,0.12123761108876129,0.7494912955007913,0.20871371907070452,0.3680470744976129,1
0.44999999999999996,0.36999999999999994,0.5412195357660904,0.12609508235019273,0.7321953425276961,0.21513983923470403,0.373314121037464,1
0.44999999999999996,0.38999999999999996,0.5467351497740215,0.13160852551827493,0.7147863441103324,0.2222886271752505,0.37894951335283117,1
0.44999999999999996,0.4099999999999999,0.5519608489494677,0.13729206618204523,0.6960208003617454,0.22934515384042314,0.3837093356599776,1
0.44999999999999996,0.42999999999999994,0.5575338037672067,0.14395646545524285,0.6788378928329188,0.2375395569620253,0.3894394147708111,1
0.44999999999999996,0.44999999999999996,0.5625213295910473,0.15044042053057113,0.658376667420303,0.24491684013541076,0.39299836700541185,1
0.44999999999999996,0.4699999999999999,0.5671926907626589,0.15726267101340244,0.6380284874519557,0.25233039007488545,0.3959423624654497,1
0.44999999999999996,0.48999999999999994,0.5717785516580193,0.16468133994437054,0.6157585349310423,0.25986355612804735,0.39782354659655267,1
0.44999999999999996,0.5099999999999999,0.5763777751018466,0.1726656576955978,0.5932624915215917,0.2674821610601427,0.39891757122442156,1
0.44999999999999996,0.5299999999999999,0.5808833278044973,0.1812513515461688,0.5685055392267692,0.27486882378662003,0.3983050847457627,1
0.44999999999999996,0.5499999999999999,0.5852083038111114,0.1907386115846648,0.5438616323762152,0.2824268396489477,0.39690134802910554,1
0.44999999999999996,0.57,0.5894019316650395,0.20095735804312503,0.5172959529730952,0.28946452857639876,0.3934313472616284,1
0.44999999999999996,0.59,0.5937605895361485,0.2131596984235778,0.49219986434546686,0.29748565181743647,0.3900734635370005,1
0.44999999999999996,0.6099999999999999,0.5976334195900924,0.22600109709270433,0.4657472303866154,0.30432855665534053,0.3842280001492147,1
0.44999999999999996,0.6299999999999999,0.6015381583953087,0.2414329249331426,0.43884241465068957,0.3114944834503511,0.3771641762042633,1
0.44999999999999996,0.6499999999999999,0.6040619513451608,0.2568049023799344,0.4074157811440199,0.31503496503496503,0.36464446153223523,1
