rain_threshold,strong_threshold,macro_f1,moderate_or_heavy_precision,moderate_or_heavy_recall,horizon_h
0.49999999999999994,0.2,0.4905678940589023,0.09362269369245911,0.8495365136784988,1
0.49999999999999994,0.25,0.51133306135146,0.10358321075106039,0.8199186072801267,1
0.49999999999999994,0.3,0.5282811264976245,0.11374656008386844,0.7849875650011304,1
0.49999999999999994,0.35000000000000003,0.5434004645431941,0.12526644336175397,0.7440651141758987,1
0.49999999999999994,0.4,0.5571852987056863,0.13857158824186877,0.7007687090210265,1
0.49999999999999994,0.45,0.5705889309612209,0.15462485643313123,0.6544200768709021,1
0.49999999999999994,0.5,0.5821480167526681,0.1726443571683599,0.601288718064662,1
0.49999999999999994,0.55,0.5932644840812885,0.19449526365003864,0.5408094053809631,1
0.49999999999999994,0.6000000000000001,0.6035347865343148,0.22258047465510863,0.47603436581505765,1
0.49999999999999994,0.6500000000000001,0.6118215087628132,0.25991316931982633,0.40605923581279674,1
0.49999999999999994,0.7000000000000001,0.6122717892190025,0.300222858962114,0.319805561835858,1
0.49999999999999994,0.7500000000000001,0.6074388789360351,0.3621953298108062,0.24022156907076644,1
0.5499999999999999,0.05,0.3813753157573511,0.06886643401566053,0.8967895093827719,1
0.5499999999999999,0.1,0.43169140196132566,0.0782832841868769,0.8823196925163916,1
0.5499999999999999,0.15000000000000002,0.46903576788178597,0.08807811724512056,0.8626497852136559,1
0.5499999999999999,0.2,0.4957723469819358,0.09774901001170883,0.8399276509156681,1
0.5499999999999999,0.25,0.5172331393006938,0.10796582636423802,0.8114401989599819,1
0.5499999999999999,0.3,0.5346791361331423,0.11833952912019827,0.777300474790866,1
0.5499999999999999,0.35000000000000003,0.5501831636060517,0.12998784787935533,0.7376215238525887,1
0.5499999999999999,0.4,0.5643137857141584,0.1434032634032634,0.6954555731404024,1
0.5499999999999999,0.45,0.5778835353197005,0.15956029313790807,0.6497852136558897,1
0.5499999999999999,0.5,0.5895807529058832,0.17760241773002014,0.5978973547366041,1
0.5499999999999999,0.55,0.6007216179073055,0.19935516288418056,0.5382093601627854,1
0.5499999999999999,0.6000000000000001,0.6109061196065518,0.22720381199913364,0.4743386841510287,1
0.5499999999999999,0.6500000000000001,0.6189548548114082,0.2641676505312869,0.4047026904815736,1
0.5499999999999999,0.7000000000000001,0.6192328044675084,0.3045542844808979,0.31901424372597786,1
0.5499999999999999,0.7500000000000001,0.6141979061646378,0.36597138424409587,0.23999547818222924,1
0.5999999999999999,0.05,0.3837873398903888,0.07228122856772137,0.88164141985078,1
0.5999999999999999,0.1,0.43402528189845685,0.08196528830348185,0.8680759665385485,1
0.5999999999999999,0.15000000000000002,0.47212236304899896,0.0920926811327694,0.849197377345693,1
0.5999999999999999,0.2,0.49960836744671716,0.1020855130083002,0.8272665611575853,1
0.5999999999999999,0.25,0.5216838719344788,0.11266574343791287,0.8001356545331223,1
0.5999999999999999,0.3,0.5395595322111222,0.12327597172502772,0.7669002939181551,1
0.5999999999999999,0.35000000000000003,0.5553436449319983,0.1349895178197065,0.7278996156454894,1
0.5999999999999999,0.4,0.5698100964110935,0.14860144130939293,0.6876554374858693,1
0.5999999999999999,0.45,0.5837476269630858,0.1650628949046432,0.6437938051096541,1
0.5999999999999999,0.5,0.5956229165494623,0.18321223976526477,0.5929233551887859,1
0.5999999999999999,0.55,0.6067806249804231,0.20476603119584055,0.5342527696133845,1
0.5999999999999999,0.6000000000000001,0.6168993607928083,0.23244026068066617,0.471738638932851,1
0.5999999999999999,0.6500000000000001,0.6247805661901007,0.2691900876397703,0.40278091792900744,1
0.5999999999999999,0.7000000000000001,0.6250195292470422,0.3095944609297725,0.31844901650463486,1
0.5999999999999999,0.7500000000000001,0.6196361226281344,0.37013100436681223,0.23954329640515487,1
0.6499999999999999,0.05,0.3855725202661177,0.07581112427449302,0.8608410581053584,1
0.6499999999999999,0.1,0.43565885820253714,0.0857724320863441,0.848066922903007,1
0.6499999999999999,0.15000000000000002,0.4741987114465147,0.09635440580356557,0.8303187881528374,1
0.6499999999999999,0.2,0.5022070715341366,0.10676326341994245,0.8096314718516844,1
0.6499999999999999,0.25,0.5246768357353555,0.11758120600457976,0.7836310196699073,1
0.6499999999999999,0.3,0.5430251808524181,0.1286020757233142,0.7522043861632376,1
0.6499999999999999,0.35000000000000003,0.5590457719500693,0.14037153904270921,0.7141080714447208,1
0.6499999999999999,0.4,0.5736496768895473,0.1539651837524178,0.674881302283518,1
0.6499999999999999,0.45,0.5878932668088062,0.17074583193635892,0.6332805787926746,1
0.6499999999999999,0.5,0.599981541083944,0.18907655187541128,0.5846710377571784,1
0.6499999999999999,0.55,0.6113457313421072,0.2110589085652331,0.5281483156228804,1
0.6499999999999999,0.6000000000000001,0.6214388840043384,0.2387499277915776,0.46721682116210717,1
0.6499999999999999,0.6500000000000001,0.6289852971916852,0.27487746051505485,0.3993895546009496,1
0.6499999999999999,0.7000000000000001,0.6288779514218544,0.31463963963963965,0.31584897128645717,1
0.6499999999999999,0.7500000000000001,0.6232250676416716,0.3741339491916859,0.23807370562966312,1
0.7,0.05,0.3869320281658763,0.08004570344500496,0.8394754691385937,1
0.7,0.1,0.4360317102949128,0.09024799092836365,0.8277187429346597,1
0.7,0.15000000000000002,0.4748974043358589,0.10128029586550541,0.8111010626271761,1
0.7,0.2,0.5033528663768617,0.11204688100422698,0.7910920189916346,1
0.7,0.25,0.5261787296947293,0.12319038017910014,0.7666742030296179,1
