model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,rain_binary,2,neighbor_precipitation_mean_minus_center,46.0,True
lightgbm,rain_binary,2,neighbor_cloud_cover_mean_minus_center,47.0,True
lightgbm,rain_binary,2,neighbor_relative_humidity_mean_minus_center,139.0,True
lightgbm,rain_binary,2,center_pressure_msl_minus_neighbor_mean,146.0,True
lightgbm,strong_if_rain,2,temperature_2m,486.0,False
lightgbm,strong_if_rain,2,relative_humidity_2m,67.0,False
lightgbm,strong_if_rain,2,pressure_msl,491.0,False
lightgbm,strong_if_rain,2,surface_pressure,373.0,False
lightgbm,strong_if_rain,2,dew_point_2m,352.0,False
lightgbm,strong_if_rain,2,precipitation,143.0,False
lightgbm,strong_if_rain,2,cloud_cover,71.0,False
lightgbm,strong_if_rain,2,wind_speed_10m,392.0,False
lightgbm,strong_if_rain,2,wind_direction_10m,1417.0,False
lightgbm,strong_if_rain,2,temperature_dew_point_spread,194.0,False
lightgbm,strong_if_rain,2,pressure_msl_change_3h,1485.0,False
lightgbm,strong_if_rain,2,pressure_msl_change_6h,1809.0,False
lightgbm,strong_if_rain,2,precipitation_lag_1h,248.0,False
lightgbm,strong_if_rain,2,precipitation_lag_2h,267.0,False
lightgbm,strong_if_rain,2,precipitation_lag_3h,331.0,False
lightgbm,strong_if_rain,2,precipitation_lag_6h,354.0,False
lightgbm,strong_if_rain,2,precipitation_sum_past_3h,245.0,False
lightgbm,strong_if_rain,2,precipitation_sum_past_6h,275.0,False
lightgbm,strong_if_rain,2,precipitation_sum_past_12h,496.0,False
lightgbm,strong_if_rain,2,precipitation_sum_past_24h,796.0,False
lightgbm,strong_if_rain,2,cloud_cover_lag_1h,408.0,False
lightgbm,strong_if_rain,2,cloud_cover_lag_3h,500.0,False
lightgbm,strong_if_rain,2,cloud_cover_lag_6h,519.0,False
lightgbm,strong_if_rain,2,humidity_lag_1h,364.0,False
lightgbm,strong_if_rain,2,humidity_lag_3h,666.0,False
lightgbm,strong_if_rain,2,humidity_lag_6h,969.0,False
lightgbm,strong_if_rain,2,wind_speed_lag_1h,679.0,False
lightgbm,strong_if_rain,2,wind_speed_lag_3h,882.0,False
lightgbm,strong_if_rain,2,hour_sin,767.0,False
lightgbm,strong_if_rain,2,hour_cos,711.0,False
lightgbm,strong_if_rain,2,month_sin,909.0,False
lightgbm,strong_if_rain,2,month_cos,787.0,False
lightgbm,strong_if_rain,2,grid_row,259.0,False
lightgbm,strong_if_rain,2,grid_column,278.0,False
lightgbm,strong_if_rain,2,latitude,55.0,False
lightgbm,strong_if_rain,2,longitude,43.0,False
lightgbm,strong_if_rain,2,neighbor_count,64.0,True
lightgbm,strong_if_rain,2,neighbor_precipitation_mean,359.0,True
lightgbm,strong_if_rain,2,neighbor_precipitation_max,422.0,True
lightgbm,strong_if_rain,2,neighbor_precipitation_sum,132.0,True
lightgbm,strong_if_rain,2,neighbor_rain_count,67.0,True
lightgbm,strong_if_rain,2,neighbor_rain_rate,219.0,True
lightgbm,strong_if_rain,2,neighbor_cloud_cover_mean,352.0,True
lightgbm,strong_if_rain,2,neighbor_cloud_cover_max,152.0,True
lightgbm,strong_if_rain,2,neighbor_relative_humidity_mean,360.0,True
lightgbm,strong_if_rain,2,neighbor_relative_humidity_max,398.0,True
lightgbm,strong_if_rain,2,neighbor_pressure_msl_mean,1091.0,True
lightgbm,strong_if_rain,2,neighbor_pressure_msl_min,870.0,True
lightgbm,strong_if_rain,2,neighbor_pressure_msl_max,863.0,True
lightgbm,strong_if_rain,2,neighbor_temperature_2m_mean,1005.0,True
lightgbm,strong_if_rain,2,neighbor_dew_point_2m_mean,1276.0,True
lightgbm,strong_if_rain,2,neighbor_temperature_dew_point_spread_mean,350.0,True
lightgbm,strong_if_rain,2,neighbor_wind_speed_10m_mean,762.0,True
lightgbm,strong_if_rain,2,neighbor_wind_speed_10m_max,727.0,True
lightgbm,strong_if_rain,2,row_minus_precipitation_mean,273.0,True
lightgbm,strong_if_rain,2,row_plus_precipitation_mean,194.0,True
lightgbm,strong_if_rain,2,column_minus_precipitation_mean,252.0,True
lightgbm,strong_if_rain,2,column_plus_precipitation_mean,227.0,True
lightgbm,strong_if_rain,2,row_minus_cloud_cover_mean,230.0,True
lightgbm,strong_if_rain,2,row_plus_cloud_cover_mean,221.0,True
lightgbm,strong_if_rain,2,column_minus_cloud_cover_mean,230.0,True
lightgbm,strong_if_rain,2,column_plus_cloud_cover_mean,256.0,True
lightgbm,strong_if_rain,2,neighbor_precipitation_mean_minus_center,192.0,True
lightgbm,strong_if_rain,2,neighbor_cloud_cover_mean_minus_center,100.0,True
lightgbm,strong_if_rain,2,neighbor_relative_humidity_mean_minus_center,154.0,True
lightgbm,strong_if_rain,2,center_pressure_msl_minus_neighbor_mean,114.0,True
lightgbm,rain_binary,3,temperature_2m,420.0,False
lightgbm,rain_binary,3,relative_humidity_2m,57.0,False
