target,season,base_rate,threshold,precision,recall,f1,fired_share
h1_0.1mm,dry,0.05543647508672343,0.6,0.6093916755602988,0.0338355332355599,0.06411138089289975,0.0030780248081572585
h1_0.1mm,dry,0.05543647508672343,0.65,0.6807228915662651,0.02008799608906271,0.03902439024390244,0.0016359192683695995
h1_0.1mm,dry,0.05543647508672343,0.7,0.7277310924369748,0.012829059449209665,0.02521363166552633,0.0009772810890360559
h1_0.1mm,dry,0.05543647508672343,0.75,0.7877280265339967,0.007036724293735093,0.013948844448359908,0.0004952105014191107
h1_0.1mm,dry,0.05543647508672343,0.8,0.8610169491525423,0.003762795727597292,0.007492846396648869,0.00024226716072742562
h1_0.1mm,dry,0.05543647508672343,0.85,0.9439252336448598,0.0014962297971941989,0.0029877237095104277,8.78731735519815e-05
h1_0.1mm,dry,0.05543647508672343,0.9,1.0,0.0005925662563145341,0.001184430658987608,3.2849784505413644e-05
h3_0.1mm,all,0.27466576450255975,0.05,0.36796854335180457,0.9826757724967129,0.5354389284429188,0.7335067010141194
h3_0.1mm,all,0.27466576450255975,0.1,0.42084333866295365,0.9526841125822507,0.583797232835491,0.6217746274497017
h3_0.1mm,all,0.27466576450255975,0.15,0.45356048865314796,0.9250802102532596,0.6086862697998872,0.560207226008413
h3_0.1mm,all,0.27466576450255975,0.2,0.48292842254135254,0.8908383715166787,0.6263234361998763,0.5066647373398115
h3_0.1mm,all,0.27466576450255975,0.25,0.5125150109280453,0.8480546231082697,0.638909929424918,0.4544873153552679
h3_0.1mm,all,0.27466576450255975,0.3,0.5390819167658214,0.8027836890483695,0.64502162953636,0.4090235432223563
h3_0.1mm,all,0.27466576450255975,0.35,0.5665843453322008,0.7493507495688977,0.6452755998586651,0.36326629601852156
h3_0.1mm,all,0.27466576450255975,0.4,0.5977325583662773,0.6823406850742149,0.6372404789441554,0.3135442821273682
h3_0.1mm,all,0.27466576450255975,0.45,0.6368398683915208,0.5937191142294919,0.6145239812269743,0.25606800469560115
h3_0.1mm,all,0.27466576450255975,0.5,0.6607362500593102,0.5372988807664568,0.5926584930677186,0.22335327876870903
h3_0.1mm,all,0.27466576450255975,0.55,0.6994685550089736,0.44649879647520085,0.5450624183651841,0.17533015945478853
h3_0.1mm,all,0.27466576450255975,0.6,0.7352372784959011,0.36642061930329123,0.48909212099243027,0.1368853327681221
h3_0.1mm,all,0.27466576450255975,0.65,0.7671384258941705,0.2987501743701158,0.43003131555225177,0.10696432647471223
h3_0.1mm,all,0.27466576450255975,0.7,0.7971939995068363,0.23508950009942806,0.3631016845620585,0.08099789676199172
h3_0.1mm,all,0.27466576450255975,0.75,0.8318556609628514,0.1670836709435575,0.2782741515715483,0.05516842208236867
h3_0.1mm,all,0.27466576450255975,0.8,0.8802714302589613,0.09952749408625608,0.17883508012207303,0.031054961359115663
