target,scheme,month,threshold,base_rate,rows
h3_0.1mm,monthly_tss,12,0.05334797129034996,0.05118567588325653,208320
h3_0.1mm,monthly_precision,1,0.09937276691198349,0.022215821812596005,208320
h3_0.1mm,monthly_precision,2,0.3401183485984802,0.08526469098277609,189504
h3_0.1mm,monthly_precision,3,0.3584875464439392,0.08418778801843319,208320
h3_0.1mm,monthly_precision,4,0.3180429935455322,0.10381448412698413,201600
h3_0.1mm,monthly_precision,5,0.24862553179264069,0.3888104838709677,208320
h3_0.1mm,monthly_precision,6,0.3346153795719147,0.37915490437755955,201208
h3_0.1mm,monthly_precision,7,0.255850225687027,0.43445808164364585,207928
h3_0.1mm,monthly_precision,8,0.2434077113866806,0.41728590629800305,208320
h3_0.1mm,monthly_precision,9,0.06445762515068054,0.6015376984126984,201600
h3_0.1mm,monthly_precision,10,0.1301058977842331,0.47846102150537634,208320
h3_0.1mm,monthly_precision,11,0.4023565351963043,0.24029761904761904,201600
h3_0.1mm,monthly_precision,12,0.3734525740146637,0.05118567588325653,208320
h6_0.1mm,global_f1,1,0.3668016195297241,0.03762960829493087,208320
h6_0.1mm,global_f1,2,0.3668016195297241,0.12379158223573117,189504
h6_0.1mm,global_f1,3,0.3668016195297241,0.1275297619047619,208320
h6_0.1mm,global_f1,4,0.3668016195297241,0.15581349206349207,201600
h6_0.1mm,global_f1,5,0.3668016195297241,0.525043202764977,208320
h6_0.1mm,global_f1,6,0.3668016195297241,0.5320861993558904,201208
h6_0.1mm,global_f1,7,0.3668016195297241,0.5827738447924281,207928
h6_0.1mm,global_f1,8,0.3668016195297241,0.5678331413210446,208320
h6_0.1mm,global_f1,9,0.3668016195297241,0.7500099206349207,201600
h6_0.1mm,global_f1,10,0.3668016195297241,0.630270737327189,208320
h6_0.1mm,global_f1,11,0.3668016195297241,0.3464384920634921,201600
h6_0.1mm,global_f1,12,0.3668016195297241,0.08475902457757296,208320
h6_0.1mm,monthly_f1,1,0.09968847781419754,0.03762960829493087,208320
h6_0.1mm,monthly_f1,2,0.22295983135700226,0.12379158223573117,189504
h6_0.1mm,monthly_f1,3,0.2443220317363739,0.1275297619047619,208320
h6_0.1mm,monthly_f1,4,0.24980784952640533,0.15581349206349207,201600
h6_0.1mm,monthly_f1,5,0.3684188425540924,0.525043202764977,208320
h6_0.1mm,monthly_f1,6,0.3420599699020386,0.5320861993558904,201208
h6_0.1mm,monthly_f1,7,0.3668016195297241,0.5827738447924281,207928
h6_0.1mm,monthly_f1,8,0.4000369906425476,0.5678331413210446,208320
h6_0.1mm,monthly_f1,9,0.43412527441978455,0.7500099206349207,201600
h6_0.1mm,monthly_f1,10,0.3934442400932312,0.630270737327189,208320
h6_0.1mm,monthly_f1,11,0.29980501532554626,0.3464384920634921,201600
h6_0.1mm,monthly_f1,12,0.17380952835083008,0.08475902457757296,208320
h6_0.1mm,monthly_tss,1,0.037880849093198776,0.03762960829493087,208320
h6_0.1mm,monthly_tss,2,0.1310344785451889,0.12379158223573117,189504
h6_0.1mm,monthly_tss,3,0.13998404145240784,0.1275297619047619,208320
h6_0.1mm,monthly_tss,4,0.1513739973306656,0.15581349206349207,201600
h6_0.1mm,monthly_tss,5,0.5230125784873962,0.525043202764977,208320
h6_0.1mm,monthly_tss,6,0.5339311361312866,0.5320861993558904,201208
h6_0.1mm,monthly_tss,7,0.5861561298370361,0.5827738447924281,207928
h6_0.1mm,monthly_tss,8,0.5840446949005127,0.5678331413210446,208320
h6_0.1mm,monthly_tss,9,0.7503064274787903,0.7500099206349207,201600
h6_0.1mm,monthly_tss,10,0.6143266558647156,0.630270737327189,208320
h6_0.1mm,monthly_tss,11,0.3420599699020386,0.3464384920634921,201600
h6_0.1mm,monthly_tss,12,0.0959097370505333,0.08475902457757296,208320
h6_0.1mm,monthly_precision,1,0.1513739973306656,0.03762960829493087,208320
h6_0.1mm,monthly_precision,2,0.3128352165222168,0.12379158223573117,189504
h6_0.1mm,monthly_precision,3,0.32511916756629944,0.1275297619047619,208320
h6_0.1mm,monthly_precision,4,0.32692307233810425,0.15581349206349207,201600
h6_0.1mm,monthly_precision,5,0.00994691252708435,0.525043202764977,208320
h6_0.1mm,monthly_precision,6,0.028784288093447685,0.5320861993558904,201208
h6_0.1mm,monthly_precision,7,0.0289288517087698,0.5827738447924281,207928
h6_0.1mm,monthly_precision,8,0.035892799496650696,0.5678331413210446,208320
h6_0.1mm,monthly_precision,9,0.1330389529466629,0.7500099206349207,201600
h6_0.1mm,monthly_precision,10,0.020168457180261612,0.630270737327189,208320
h6_0.1mm,monthly_precision,11,0.3128352165222168,0.3464384920634921,201600
h6_0.1mm,monthly_precision,12,0.44457584619522095,0.08475902457757296,208320
h1_1.0mm,global_f1,1,0.17155204713344574,0.002222542242703533,208320
h1_1.0mm,global_f1,2,0.17155204713344574,0.011545930428909152,189504
h1_1.0mm,global_f1,3,0.17155204713344574,0.013608870967741936,208320
h1_1.0mm,global_f1,4,0.17155204713344574,0.013774801587301587,201600
h1_1.0mm,global_f1,5,0.17155204713344574,0.06942684331797234,208320
h1_1.0mm,global_f1,6,0.17155204713344574,0.05220468371038925,201208
h1_1.0mm,global_f1,7,0.17155204713344574,0.07336193297679966,207928
h1_1.0mm,global_f1,8,0.17155204713344574,0.0811491935483871,208320
h1_1.0mm,global_f1,9,0.17155204713344574,0.14041170634920636,201600
h1_1.0mm,global_f1,10,0.17155204713344574,0.0854502688172043,208320
h1_1.0mm,global_f1,11,0.17155204713344574,0.02662202380952381,201600
