horizon_h,target_column,rows,rain_rate,roc_auc,pr_auc,brier_score,threshold,predicted_rain_rate,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.15,0.38846738611972337,0.7163402297479927,0.3781631909138001,0.777268066983885,0.5087869492830623,0.7021412161127278,0.29785878388727216,0.22273193301611505,229214,97236,16945,59133
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.2,0.3125124214961444,0.7554480682089196,0.4111212687308717,0.6797891637529904,0.512371639595191,0.7730801041507122,0.2269198958492878,0.32021083624700963,252372,74078,24361,51717
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.25,0.25380346211940535,0.7815282415136339,0.4419408200620577,0.5934698598806488,0.5066174449200801,0.8253545719099402,0.17464542809005973,0.4065301401193512,269437,57013,30928,45150
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.3,0.20785137928293188,0.7983444629938787,0.4695575263547917,0.5163910723205132,0.4918619791666667,0.8640526880073518,0.13594731199264817,0.4836089276794868,282070,44380,36792,39286
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.35,0.1712129342555052,0.8092107878209714,0.49477640094024783,0.4482110465574805,0.47034400948991695,0.8933404809312299,0.10665951906877011,0.5517889534425195,291631,34819,41979,34099
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.4,0.14206216710390332,0.8162661976309723,0.5185366536094013,0.38975788007045403,0.4450180846753013,0.9156624291621994,0.08433757083780058,0.610242119929546,298918,27532,46426,29652
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.45,0.11709992845218221,0.8200075522696558,0.5384631704005431,0.3336181287625858,0.41198240459688024,0.9333588604686782,0.0666411395313218,0.6663818712374142,304695,21755,50697,25381
5,rain_next_5h,402528,0.1890005167342396,0.8195613341405006,0.4827039318695915,0.12352484879732163,0.5,0.09442821368948247,0.8226458780507194,0.561667982109971,0.280619890112779,0.37425496108267303,0.9489630877622913,0.05103691223770868,0.719380109887221,309789,16661,54729,21349
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.1,0.49051611043749627,0.6508601840624938,0.3367912916183346,0.8739583059491575,0.4862137427467212,0.5988590476540623,0.4011409523459377,0.12604169405084256,195464,130930,9589,66489
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.15,0.3916247589894452,0.7128098352183506,0.3746716745549366,0.7762428034385762,0.5054001780090374,0.698024473489096,0.301975526510904,0.22375719656142382,227831,98563,17023,59055
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.2,0.313256574370391,0.7527157168697449,0.4070131744886062,0.6745051131733221,0.5076797506863545,0.7709455443421142,0.22905445565788587,0.3254948868266779,251632,74762,24763,51315
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.25,0.25524757001729315,0.7783150132183109,0.4360264771731724,0.5887773075001972,0.5010178515502662,0.8224936732905629,0.17750632670943706,0.4112226924998028,268457,57937,31285,44793
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.3,0.21049166153173388,0.7950789123218509,0.4622448859142793,0.5147348773627067,0.4870798221337728,0.8604232920948301,0.13957670790516982,0.4852651226372933,280837,45557,36918,39160
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.35,0.17279462919159594,0.8060163191476675,0.4856567689984902,0.443952259523121,0.4638690316776883,0.8904085246665073,0.10959147533349264,0.556047740476879,290624,35770,42303,33775
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.4,0.1408644576517124,0.81395475958576,0.5105831304899989,0.38049107494939405,0.4360407314795288,0.9149892461258479,0.08501075387415209,0.619508925050606,298647,27747,47131,28947
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.45,0.1131184281142539,0.8188917489912342,0.5350012080743295,0.32015825862930153,0.4005920809177254,0.9351397390883411,0.06486026091165892,0.6798417413706985,305224,21170,51721,24357
6,rain_next_6h,402472,0.189026814287702,0.8149943824929463,0.46979586594095624,0.12473542054966977,0.5,0.08828937168299907,0.820926673159872,0.5563685484324872,0.2598648755224901,0.3542629824750027,0.9517025435516584,0.048297456448341575,0.74013512447751,310630,15764,56308,19770
