model,features,horizon_h,label_source,threshold,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,csi,ets,hss,pss,true_positives,false_positives,false_negatives,true_negatives
TMD_BKK_V0,40,3,imerg,0.3,7157,0.2474500489031717,0.705218875797994,0.4361885216235728,1.7627336246526881,0.6714285714285714,0.10615471485036702,0.1833252072159922,0.10091250670960816,0.06618334205639975,0.12415002081864965,0.08907339290458166,188,92,1583,5294
TMD_BKK_V0,40,3,tmd_gauge,0.3,7157,0.07768618136090541,0.8495336438015169,0.42619897687921887,5.486162009936276,0.6,0.302158273381295,0.4019138755980861,0.25149700598802394,0.22630305829201616,0.36908178082375337,0.2851911471882939,168,112,388,6489
TMD_BKK_V0,40,3,open_meteo,0.3,7157,0.2938382003632807,0.8000370134736948,0.5687343272487122,1.9355357014355843,0.6464285714285715,0.08606752258678078,0.15190935795216115,0.08219800181653043,0.04657457441146766,0.08900383317196192,0.06647907779057975,181,99,1922,4955
TMD_BKK_V0,40,6,imerg,0.25,7157,0.3550370266871594,0.7160385108825317,0.5560319588499943,1.566123860483829,0.6320987654320988,0.20149547422274694,0.30558042375410327,0.18034519196900317,0.08795886512060203,0.16169520363410367,0.13693741529727033,512,298,2029,4318
TMD_BKK_V0,40,6,tmd_gauge,0.25,7157,0.12700852312421407,0.8398242993313416,0.4646198267529437,3.658178327910691,0.45555555555555555,0.40594059405940597,0.4293193717277487,0.2733333333333333,0.21338959808014196,0.35172478553924114,0.3353580076317491,369,441,540,5807
TMD_BKK_V0,40,6,open_meteo,0.25,7157,0.40072656140841134,0.8346195044050607,0.7320656653525112,1.8268458741031808,0.8,0.22594142259414227,0.3523654159869494,0.21386138613861386,0.119542438191506,0.21355588517861507,0.18817038039316303,648,162,2220,4127
TMD_BKK_V1,63,1,imerg,0.85,7157,0.14838619533324018,0.7170450911416693,0.34575671576290595,2.3301137615019942,0.5725490196078431,0.1374764595103578,0.2217160212604404,0.1246797608881298,0.0954511058334259,0.17426812629999788,0.11959294843570645,146,109,916,5986
TMD_BKK_V1,63,1,tmd_gauge,0.85,7157,0.03926226072376694,0.9171542049399738,0.5204551653132741,13.255863409776165,0.5490196078431373,0.498220640569395,0.5223880597014925,0.35353535353535354,0.3367671583559486,0.5038531299199912,0.4814958005461257,140,115,141,6761
TMD_BKK_V1,63,1,open_meteo,0.85,7157,0.1842950957104932,0.791388853608979,0.43151825504638375,2.3414527303767767,0.5647058823529412,0.10917361637604246,0.18297331639135958,0.1006993006993007,0.07014057656141315,0.13108665926263555,0.09016025563606302,144,111,1175,5727
TMD_BKK_V1,63,2,imerg,0.8,7157,0.20245913092077686,0.705780827509294,0.4015592986040569,1.9834091788193482,0.5787965616045845,0.13940648723257418,0.22469410456062291,0.12656641604010024,0.0861064493663065,0.15855987121068232,0.11365315857104649,202,147,1247,5561
TMD_BKK_V1,63,2,tmd_gauge,0.8,7157,0.05952214615062177,0.8847324027361316,0.46375347567723635,7.791276116014039,0.5186246418338109,0.42488262910798125,0.4670967741935484,0.3047138047138047,0.27951725059133464,0.4369104839534668,0.39992348485007007,181,168,245,6563
TMD_BKK_V1,63,2,open_meteo,0.8,7157,0.2460528154254576,0.7985795312236249,0.5166336314032247,2.0996859170658033,0.6017191977077364,0.11925042589437819,0.1990521327014218,0.11052631578947368,0.06842273368530769,0.12808176301022225,0.09349060380394084,210,139,1551,5257
TMD_BKK_V1,63,3,imerg,0.3,7157,0.2474500489031717,0.710315742153518,0.4431779465861877,1.790979426153216,0.631578947368421,0.12196499153020893,0.20444865120681496,0.11386399578281498,0.07248626509282487,0.13517425341862277,0.09857100712619853,216,126,1555,5260
TMD_BKK_V1,63,3,tmd_gauge,0.3,7157,0.07768618136090541,0.8682137761991588,0.46062771415798565,5.9293391191163725,0.5467836257309941,0.3363309352517986,0.41648106904231624,0.2630098452883263,0.23440091048744763,0.3797808450981877,0.31284964453827036,187,155,369,6446
TMD_BKK_V1,63,3,open_meteo,0.3,7157,0.2938382003632807,0.8136301034890703,0.5891741328391322,2.0050971320635615,0.6491228070175439,0.10556348074179743,0.18159509202453988,0.09986504723346828,0.057247074459943974,0.10829459989603007,0.08181991129185678,222,120,1881,4934
TMD_BKK_V1,63,6,imerg,0.3,7157,0.3550370266871594,0.721753877654303,0.5655802964786071,1.5930177811481272,0.6786296900489397,0.1637150728059819,0.2637920101458465,0.15193571950328708,0.07870388413321859,0.1459230569035362,0.12103742982504603,416,197,2125,4419
TMD_BKK_V1,63,6,tmd_gauge,0.3,7157,0.12700852312421407,0.855032158145392,0.4919659779023395,3.87348790302205,0.5432300163132137,0.36633663366336633,0.4375821287779238,0.280067283431455,0.22962264739345933,0.37348474002200743,0.32152229307437785,333,280,576,5968
TMD_BKK_V1,63,6,open_meteo,0.3,7157,0.40072656140841134,0.8457242636526315,0.742062393862004,1.851792382451312,0.8091353996737357,0.17294281729428174,0.2849755817293881,0.1661641541038526,0.09139182500312028,0.16747756930075777,0.14566373126024118,496,117,2372,4172
