model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,mean_predicted_probability
lightgbm,exact_hour_intensity,neighbor_grid,5,validation,2,moderate,368032,0.02263661855490827,0.12723621858968787,0.06013624618275781,0.3380146441003481,0.10210667536894014,0.17616878981289583
lightgbm,exact_hour_intensity,neighbor_grid,5,validation,3,heavy,368032,0.0014210720806886357,0.005771237283714459,0.0023540489642184556,0.009560229445506692,0.0037778617302606727,0.036753851946678046
lightgbm,exact_hour_intensity,neighbor_grid,5,test,0,no_rain,368032,0.8377776932440657,0.7790083471002521,0.9125671433554238,0.8485513850464925,0.8793957941545706,0.6907221321586788
lightgbm,exact_hour_intensity,neighbor_grid,5,test,1,light,368032,0.15163898791409441,0.16482805842970177,0.3875572846262899,0.42126576834862384,0.4037091096419679,0.19102117986133904
lightgbm,exact_hour_intensity,neighbor_grid,5,test,2,moderate,368032,0.010202917137640205,0.05285953395356925,0.052277166649532227,0.2708388814913449,0.08763841613167306,0.09751017092025006
lightgbm,exact_hour_intensity,neighbor_grid,5,test,3,heavy,368032,0.0003804017041996348,0.003304060516476828,0.0,0.0,0.0,0.020746517059732097
lightgbm,exact_hour_intensity,neighbor_grid,6,validation,0,no_rain,368032,0.7311266411616382,0.5256010346926354,0.8872093383926632,0.6378076245549618,0.7421148673775609,0.4762050708851349
lightgbm,exact_hour_intensity,neighbor_grid,6,validation,1,light,368032,0.24481566820276499,0.3375902095469959,0.40344805382956117,0.5563374028856826,0.46771544806479304,0.30631076795187273
lightgbm,exact_hour_intensity,neighbor_grid,6,validation,2,moderate,368032,0.02263661855490827,0.13111631597252413,0.060346078126619004,0.34953787060376906,0.10292298448379458,0.1795226321796515
lightgbm,exact_hour_intensity,neighbor_grid,6,validation,3,heavy,368032,0.0014210720806886357,0.005692439787844535,0.002863961813842482,0.011472275334608031,0.004583651642475172,0.03796152898334083
lightgbm,exact_hour_intensity,neighbor_grid,6,test,0,no_rain,368032,0.8378157334144857,0.7834536127293279,0.9086933300038843,0.8497322786636959,0.8782243048607375,0.6884443357681782
lightgbm,exact_hour_intensity,neighbor_grid,6,test,1,light,368032,0.15160094774367447,0.16082568907051562,0.376708510027201,0.399630784672187,0.3878312446187697,0.19276074792048328
lightgbm,exact_hour_intensity,neighbor_grid,6,test,2,moderate,368032,0.010202917137640205,0.051848752282410225,0.048841840477937326,0.24820239680426098,0.08162192932521785,0.09678808397741619
lightgbm,exact_hour_intensity,neighbor_grid,6,test,3,heavy,368032,0.0003804017041996348,0.003871945917746283,0.002105263157894737,0.02142857142857143,0.0038338658146964857,0.02200683233392228
